State,State_Code,Marathon Name,City,Finishers,Course Type,Elevation Gain (ft),Elevation Loss (ft),Date,Avg Temperature,PR Score,Course Score
Illinois,IL,Last Chance BQ.2 Marathon,Geneva,254,Flat,372,395,09/06/2026,66,97.19,99.30
Illinois,IL,Belleville Main Street Marathon,Belleville,175,Rolling Hills,631,631,09/26/2026,61,96.83,98.65
Illinois,IL,Spring Chance BQ.2 Marathon,Geneva,124,Flat,372,395,04/11/2027,52,99.30,99.30
Indiana,IN,Indianapolis Monumental Marathon,Indianapolis,6674,Mostly Flat,302,302,11/07/2026,48,99.37,99.37
Indiana,IN,Carmel Marathon,Carmel,687,Mostly Flat,464,464,05/31/2026,47,99.00,99.00
Indiana,IN,Mill Race Marathon,Columbus,211,Mostly Flat,0,0,09/26/2026,60,98.47,99.59
Indiana,IN,Veterans Marathon,Columbia City,134,Rolling Hills,659,659,11/14/2026,42,98.66,98.66
Indiana,IN,Back Your Badge Marathon,Plainfield,107,Rolling Hills,0,0,09/20/2026,65,0.00,0.00
Indiana,IN,Fort Wayne Marathon,Fort Wayne,105,Mostly Flat,0,0,04/26/2026,54,0.00,0.00
Kansas,KS,Salina Crossroads Marathon,Salina,548,Mostly Flat,384,384,11/07/2026,48,99.16,99.16
Kansas,KS,Garmin Olathe Marathon,Olathe,543,Rolling Hills,891,891,04/25/2026,55,97.90,97.90
Kansas,KS,Prairie Fire Marathon,Wichita,382,Mostly Flat,361,362,10/11/2026,61,98.54,99.23
Kansas,KS,Gobbler Grind Marathon,Overland Park,219,Rolling Hills,593,593,11/22/2026,42,98.74,98.74
Kentucky,KY,Kentucky Derby Festival Marathon,Louisville,1502,Mostly Flat,501,508,04/25/2026,60,98.87,98.87
Kentucky,KY,Louisville Marathon,Louisville,418,Hilly,961,961,11/01/2026,38,97.66,97.66
Kentucky,KY,Horse Capital Marathon,Lexington,159,Rolling Hills,0,0,04/11/2026,57,97.80,97.80
Louisiana,LA,Every Womans Marathon,New Orleans,3949,Mostly Flat,0,0,02/28/2027,62,0.00,0.00
Louisiana,LA,Louisiana Marathon,Baton Rouge,1477,Mostly Flat,436,436,01/17/2027,52,99.05,99.05
Louisiana,LA,Zydeco Marathon,Lafayette,175,Flat,0,0,03/07/2027,60,98.72,99.62
Massachusetts,MA,Boston Marathon,Boston,29025,Downhill,815,1275,04/19/2027,53,99.21,99.21
Massachusetts,MA,Cape Cod Marathon,Falmouth,1162,Rolling Hills,446,446,10/11/2026,45,99.07,99.07
Massachusetts,MA,Baystate Marathon,Lowell,1140,Mostly Flat,507,511,10/18/2026,47,98.92,98.92
Massachusetts,MA,Hyannis Marathon,Hyannis,386,Mostly Flat,0,0,03/02/2025,32,98.95,98.95
Massachusetts,MA,Beantown Marathon,Hingham,263,Rolling Hills,571,571,09/06/2026,67,97.09,98.66
Massachusetts,MA,MV Spring Classic Marathon,Marthas Vineyard,148,Mostly Flat,374,437,04/26/2026,51,99.40,99.40
Massachusetts,MA,Steel Rail Marathon,Pittsfield,113,Mostly Flat,558,558,05/17/2026,59,98.32,98.82
Massachusetts,MA,Great Woods Marathon,Mansfield,108,Flat,302,303,04/24/2027,52,99.40,99.40
Massachusetts,MA,Charles River Marathon,Boston,101,Flat,214,214,05/03/2026,55,99.55,99.55
Maryland,MD,Baltimore Marathon,Baltimore,1961,Hilly,977,985,10/17/2026,55,97.72,97.72
Maryland,MD,Ocean City Running Festival Marathon,Ocean City,360,Flat,9,203,11/14/2026,58,99.37,99.52
Maryland,MD,B and A Marathon,Severna Park,320,Mostly Flat,0,0,03/29/2026,52,98.75,98.75
Maryland,MD,Salisbury Marathon,Salisbury,279,Rolling Hills,367,375,04/04/2026,63,99.29,99.29
Maryland,MD,Historic Drawbridge Running Festival Marathon,St. Michaels,127,Flat,0,0,10/31/2026,50,0.00,0.00
Maine,ME,Maine Marathon,Portland,1176,Rolling Hills,858,858,10/04/2026,52,97.97,97.97
Maine,ME,Maine Coast Marathon,Wells,917,Mostly Flat,770,764,05/02/2027,50,98.24,98.24
Maine,ME,Mount Desert Island Marathon,Bar Harbor,811,Hilly,0,0,10/18/2026,48,96.85,96.85
Maine,ME,Sugarloaf Marathon,Kingfield,497,Downhill,713,1285,05/17/2026,54,100.10,100.10
Maine,ME,Millinocket Marathon,Millinocket,167,Rolling Hills,0,0,12/06/2025,25,96.73,96.73
Maine,ME,Bay of Fundy Marathon,Lubec,160,Rolling Hills,0,0,06/21/2026,65,96.68,97.35
Michigan,MI,Detroit Free Press Marathon,Detroit,3569,Mostly Flat,388,397,10/18/2026,51,99.12,99.12
Michigan,MI,Bayshore Marathon,Traverse City,1732,Mostly Flat,371,371,05/29/2027,56,99.24,99.24
Michigan,MI,Grand Rapids Marathon,Grand Rapids,1158,Mostly Flat,776,776,10/18/2026,49,98.29,98.29
Michigan,MI,Charlevoix Marathon,Charlevoix,511,Mostly Flat,555,555,06/20/2026,67,96.68,98.77
Michigan,MI,Kalamazoo Marathon,Kalamazoo,398,Rolling Hills,746,746,04/26/2026,58,98.18,98.33
Michigan,MI,Ann Arbor Marathon,Ann Arbor,375,Rolling Hills,0,0,10/04/2026,39,97.36,97.36
Michigan,MI,Holland Haven Marathon,Holland,367,Rolling Hills,640,688,09/13/2026,66,96.50,98.87
Michigan,MI,Sleeping Bear Marathon,Empire,262,Mostly Flat,0,0,10/03/2026,51,98.38,98.38
Michigan,MI,Thumb Coast Marathon,Port Austin,202,Mostly Flat,265,264,11/08/2026,44,99.45,99.45
Michigan,MI,Millennium Meadows Marathon,Grand Rapids,163,Mostly Flat,447,447,08/30/2026,70,95.10,99.03
Michigan,MI,Martian Marathon,Dearborn,147,Mostly Flat,346,346,04/11/2026,45,99.28,99.28
Michigan,MI,Last Chance BQ.2 (Grand Rapids) Marathon,Grand Rapids,126,Mostly Flat,447,447,09/13/2026,64,97.20,99.03
Michigan,MI,Groundhog Day Marathon,Grand Rapids,101,Rolling Hills,0,0,02/06/2027,25,99.24,99.24
Minnesota,MN,Grandmas Marathon,Duluth,7542,Mostly Flat,557,685,06/20/2026,61,98.00,99.12
Minnesota,MN,Twin Cities Marathon,St. Paul,7002,Rolling Hills,576,495,10/04/2026,51,98.85,98.85
Minnesota,MN,Mankato Marathon,Mankato,381,Mostly Flat,583,790,10/17/2026,45,99.21,99.21
Minnesota,MN,Med City Marathon,Rochester,360,Mostly Flat,513,778,05/17/2026,62,98.65,99.55
Minnesota,MN,Lake Wobegon Trail Marathon,St. Joseph,335,Mostly Flat,290,412,05/09/2026,56,99.63,99.63
Minnesota,MN,Bemidji Blue Ox Marathon,Bemidji,228,Rolling Hills,399,399,10/10/2026,43,99.14,99.14
Missouri,MO,Kansas City Marathon,Kansas City,1538,Hilly,1200,1200,10/17/2026,55,97.12,97.12
Missouri,MO,Greater St. Louis Marathon,St. Louis,1409,Rolling Hills,984,967,04/11/2026,55,97.81,97.81
Missouri,MO,Bass Pro Shops Conservation Marathon,Springfield,476,Rolling Hills,764,780,11/01/2026,50,98.43,98.43
Missouri,MO,Heart of America Marathon,Columbia,105,Hilly,0,0,09/07/2026,70,93.44,96.56
Mississippi,MS,Mississippi Gulf Coast Marathon,Biloxi,766,Flat,140,130,12/13/2026,53,99.54,99.69
Mississippi,MS,Mississippi Blues Marathon,Jackson,237,Rolling Hills,1193,1193,02/20/2027,49,97.24,97.24
Mississippi,MS,Mississippi River Marathon,Greenville,109,Mostly Flat,217,207,02/07/2026,45,99.52,99.52
Montana,MT,Missoula Marathon,Missoula,1153,Mostly Flat,492,315,06/28/2026,66,97.26,97.26
Montana,MT,Montana Marathon,Billings,221,Downhill,520,1351,09/20/2026,58,99.51,99.51
