State,State_Code,Marathon Name,City,Finishers,Course Type,Elevation Gain (ft),Elevation Loss (ft),Date,Avg Temperature,PR Score,Course Score
Oregon,OR,Eugene Marathon,Eugene,4536,Mostly Flat,586,583,04/25/2027,53,98.70,98.70
Oregon,OR,Portland Marathon,Portland,3009,Rolling Hills,873,873,10/04/2026,56,98.00,98.00
Oregon,OR,Bend Marathon,Bend,406,Hilly,1164,1164,04/12/2026,46,94.73,94.73
Oregon,OR,Newport Marathon (OR),Newport,332,Mostly Flat,335,405,05/31/2026,53,99.22,99.38
Oregon,OR,Foot Traffic Flat Marathon,Portland,298,Mostly Flat,236,236,07/04/2026,67,98.17,99.53
Oregon,OR,Vernonia Marathon,Banks,177,Downhill,487,1004,04/12/2026,51,100.17,100.17
Oregon,OR,Rogue Marathon,Medford,171,Downhill,550,1491,10/10/2026,66,100.96,100.96
Pennsylvania,PA,Philadelphia Marathon,Philadelphia,12576,Mostly Flat,651,641,11/22/2026,43,98.46,98.46
Pennsylvania,PA,Pittsburgh Marathon,Pittsburgh,5024,Rolling Hills,933,939,05/02/2027,55,98.15,98.15
Pennsylvania,PA,Erie Marathon,Erie,1103,Flat,84,84,09/13/2026,63,98.55,99.91
Pennsylvania,PA,Steamtown Marathon,Scranton,892,Downhill,518,1471,10/11/2026,53,101.09,101.09
Pennsylvania,PA,Jim Thorpe Marathon,Jim Thorpe,774,Downhill,75,650,04/26/2026,58,100.40,101.34
Pennsylvania,PA,Harrisburg Marathon,Harrisburg,631,Mostly Flat,315,314,11/08/2026,45,99.34,99.34
Pennsylvania,PA,St. Lukes D and L RaceFest Marathon,Allentown,388,Mostly Flat,364,558,11/15/2026,45,99.70,99.70
Pennsylvania,PA,Gettysburg North-South Marathon,Gettysburg,136,Hilly,1323,1323,04/25/2027,55,96.94,96.94
Pennsylvania,PA,Veterans Marathon (PA),Black Lick,101,Hilly,0,0,11/01/2026,47,99.20,99.20
Rhode Island,RI,Newport Rhode Races Marathon,Newport,1255,Rolling Hills,891,891,04/18/2026,45,97.86,97.86
Rhode Island,RI,Newport Marathon (RI),Newport,1057,Rolling Hills,0,0,10/11/2026,54,97.74,97.89
Rhode Island,RI,Ocean State Rhode Races Marathon,Narragansett,398,Rolling Hills,1006,1006,10/25/2026,55,97.32,97.32
Rhode Island,RI,Providence Rhode Races Marathon,Providence,373,Rolling Hills,746,746,05/03/2026,54,98.27,98.27
South Carolina,SC,Myrtle Beach Marathon,Myrtle Beach,1674,Flat,283,280,03/06/2027,52,99.42,99.42
South Carolina,SC,Kiawah Island Marathon,Kiawah Island,1328,Flat,129,129,12/12/2026,53,99.73,99.73
South Carolina,SC,Spinx Runfest Marathon,Greenville,439,Rolling Hills,0,0,10/24/2026,57,98.03,98.03
South Carolina,SC,Hilton Head Island Marathon,Hilton Head Island,374,Mostly Flat,461,461,-,55,98.98,98.98
South Dakota,SD,Sioux Falls Marathon,Sioux Falls,404,Mostly Flat,586,586,09/20/2026,61,98.17,98.66
Tennessee,TN,Rock n Roll Nashville Marathon,Nashville,3189,Rolling Hills,1088,1163,04/24/2027,61,96.34,97.64
Tennessee,TN,St. Jude Memphis Marathon,Memphis,1973,Rolling Hills,703,706,12/05/2026,46,98.52,98.52
Tennessee,TN,Seven Bridges Marathon,Chattanooga,844,Rolling Hills,905,905,10/25/2026,60,97.85,97.85
Tennessee,TN,Knoxville Marathon,Knoxville,844,Rolling Hills,1248,1248,04/11/2027,53,97.14,97.14
Tennessee,TN,Chattanooga Marathon,Chattanooga,279,Rolling Hills,995,995,03/29/2026,56,97.59,97.59
Texas,TX,Houston Marathon,Houston,9257,Flat,225,222,01/17/2027,52,99.53,99.53
Texas,TX,Austin Marathon,Austin,7295,Rolling Hills,1015,973,02/14/2027,54,97.48,97.48
Texas,TX,Dallas Marathon,Dallas,3947,Rolling Hills,843,843,12/13/2026,47,98.10,98.10
Texas,TX,San Antonio Marathon,San Antonio,3335,Rolling Hills,909,902,12/06/2026,55,97.88,97.88
Texas,TX,Cowtown Marathon,Fort Worth,2134,Rolling Hills,736,734,02/28/2027,52,98.43,98.43
Texas,TX,Woodlands Marathon,The Woodlands,1026,Mostly Flat,332,341,02/27/2027,57,99.34,99.34
Texas,TX,El Paso Marathon,El Paso,657,Rolling Hills,552,552,02/28/2027,52,96.14,96.14
Texas,TX,Run the Alamo 26.2 Marathon,San Antonio,606,Rolling Hills,585,585,03/06/2027,59,98.77,98.77
Texas,TX,Bryan-College Station Marathon,College Station,559,Mostly Flat,678,648,12/13/2026,53,98.45,98.45
Texas,TX,Irving Marathon,Irving,497,Rolling Hills,750,750,03/21/2027,61,98.23,98.38
Texas,TX,Irving Frost Marathon,Irving,478,Mostly Flat,486,486,12/19/2026,49,98.99,98.99
Texas,TX,Fort Worth Marathon,Fort Worth,472,Mostly Flat,544,552,11/08/2026,55,98.79,98.94
Texas,TX,McAllen Marathon,McAllen,211,Flat,192,192,01/16/2027,62,98.91,99.61
